Yaw(Z),Pitch(X),Roll(Y),DeltaTime(ns)
16.833673,9.983367,11.852332,1.8983672E7
17.293865,9.339826,12.484879,2.0051884E7
17.462517,9.1588125,12.851206,2.218831E7
17.582836,8.994847,13.317498,4.0805736E7
17.700535,8.711319,13.753148,4425454.0
17.710861,8.408605,13.960701,1.5321227E7
17.60218,8.293318,13.907611,4.5322752E7
17.549397,8.282342,13.889025,1892263.0
17.615786,8.240356,14.01486,1526018.0
17.751842,8.1292095,14.271462,2.957424E7
17.859459,7.9670744,14.48637,1.9105752E7
17.843203,7.8472657,14.459183,2.4141616E7
17.81296,7.8162975,14.357201,2441629.0
17.668951,7.77227,14.116367,1.8159622E7
17.457134,7.627764,13.924759,1.7610254E7
17.057486,7.3750196,13.633787,1.9014192E7
16.446047,7.145047,13.174586,1.809858E7
15.991567,7.044664,12.84138,1.97772E7
15.51613,6.906592,12.567429,2.0967496E7
15.1139145,6.754319,12.341064,2.4050052E7
14.682738,6.6091986,12.079607,1.4497177E7
14.116024,6.4730115,11.75315,2.0143444E7
13.617557,6.415808,11.536615,2.0112926E7
12.8403635,6.369397,11.332098,2.0845414E7
11.966782,6.369247,11.379538,1.9105752E7
10.984437,6.5084395,11.7392645,2.0112926E7
9.840735,6.7039056,12.366209,2.0418128E7
9.099714,6.7840376,13.328696,1.9868764E7
8.163897,6.8611913,15.406641,2.136426E7
7.6924496,6.9425254,19.022264,2.12727E7
7.6103234,6.5824037,23.28147,1.9166794E7
8.065869,5.7430077,27.939705,1.968564E7
8.716704,5.0086255,31.69955,2.0082404E7
9.543021,4.190417,36.992912,2.1059058E7
9.560834,3.7464817,41.79642,1.9990844E7
8.834512,3.626605,45.94643,2.057073E7
7.59221,3.597488,49.60804,2.1791546E7
6.4432077,3.4712389,52.204338,1.721349E7
4.61269,3.2627609,55.664703,1.8312224E7
2.6903195,3.3509045,58.87461,1.8922632E7
0.64436007,3.5279975,60.77075,2.0387608E7
358.34232,3.5963678,61.87782,2.0173966E7
356.70453,3.4793804,62.91243,1190294.0
354.33783,3.2594073,64.08256,2.0082404E7
352.5189,2.9837818,65.735664,1.9044712E7
351.04703,2.5875897,67.13577,2.1181138E7
350.02457,2.1686397,68.54797,3.8577752E7
349.5784,1.8479555,69.72971,1068213.0
349.40347,1.4547962,71.53926,1.9258354E7
349.63495,1.1804616,73.471634,2.0998018E7
349.574,1.0943124,74.60844,2.2737676E7
349.77173,0.8647566,76.31859,1.9227836E7
350.35388,0.5207336,78.351456,1.9410956E7
351.753,359.96573,81.761734,2.8383946E7
352.73462,359.56982,84.00225,2.2371432E7
353.3869,359.32892,85.2594,1.8739508E7
353.99216,359.21143,85.900055,2.3226004E7
354.48172,359.18677,85.92522,2.707157E7
354.95752,359.2113,85.326775,3509843.0
355.48785,359.2023,84.77251,2.282924E7
356.14093,359.1174,84.4228,2.0662292E7
356.63788,359.02176,83.83856,2.615596E7
356.85892,358.9932,83.09537,2472150.0
357.34305,359.00427,81.8443,1.2513352E7
358.61438,358.9792,80.49034,2.0296048E7
0.10691978,359.00967,78.22622,2.0906456E7
1.5641816,359.15244,74.94611,1.8373264E7
2.274084,359.2817,71.605225,2.1059056E7
3.0515273,359.57678,66.86545,1.8953152E7
3.2304509,0.009405171,61.905952,1.9960324E7
2.4401808,0.19367684,56.093708,2.4874104E7
2.5685782,0.3490978,51.136356,1.873951E7
3.0781922,0.45900238,47.71376,2.1791544E7
2.8999517,0.7313425,42.5508,1.803754E7
2.123096,1.0610085,37.758556,2.212727E7
1.3500688,1.7444508,32.803764,1.7640776E7
0.7751035,2.6738415,27.2646,1.9014192E7
0.6640037,3.3214664,23.174202,2.1455824E7
1.0707414,3.9631763,18.598825,2.0326568E7
1.7613009,4.4129033,14.778096,1.9166792E7
2.5608466,4.7883587,11.069696,2.12727E7
4.038107,5.2388372,8.231422,2.2371432E7
5.4518194,5.5581484,6.5580063,1.5229666E7
7.226904,5.8562655,4.2644124,1.8617428E7
8.919671,6.024623,2.0838323,2.1181138E7
10.616371,6.031248,0.60902107,2.0906456E7
12.269332,5.915183,0.20768599,1.5565389E7
13.04423,5.818495,359.60657,4.2881124E7
13.247907,5.682854,358.0511,9735998.0
13.1781025,5.6022716,357.07166,9980162.0
12.886208,5.6716595,357.05106,1.1323058E7
12.539862,5.7869463,357.86566,2.0936976E7
12.165787,5.8822613,358.52197,1.965512E7
11.612213,6.0196915,359.53534,1.8403784E7
11.040062,6.1192827,0.556336,1.9410956E7
10.590799,6.0202518,1.3859867,2.2524034E7
10.242979,5.7953815,1.782635,2.0845414E7
10.064055,5.655595,1.9298828,2.298184E7
9.839971,5.600632,2.0076475,1.8312224E7
9.608345,5.6252003,2.0192459,1.7701816E7
9.373168,5.6131654,2.026649,2.2066228E7
9.114058,5.5900183,1.9247426,2.8780712E7
8.94915,5.5942664,1.9112035,8576224.0
8.832982,5.663436,2.155423,3.1435984E7
8.792219,5.817641,2.5693395,8454143.0
8.737551,6.007397,3.0376418,2.1822066E7
8.682554,6.235116,3.6274571,1.5321227E7
8.635234,6.4314566,4.0772543,2.133374E7
8.580702,6.660432,4.701427,2.4233176E7
8.501199,6.7498455,5.188605,1.7457652E7
8.29938,6.6251264,5.5877967,1.8312224E7
8.135374,6.607976,6.377341,2.4294216E7
8.237718,6.772877,7.2523804,2136427.0
8.470217,7.0306416,8.536136,1.4130932E7
8.541552,7.1813836,9.117253,2.12727E7
8.354923,7.3527055,9.138891,1.791546E7
8.076907,7.5451255,8.899557,2.0723332E7
7.931288,7.616009,8.743939,2.4019532E7
8.008987,7.594829,8.729324,1.6633602E7
8.384867,7.5787916,8.89004,1.8770028E7
8.848391,7.641588,9.235603,2.0479172E7
9.083049,7.6606717,9.563813,1.9868762E7
9.080999,7.6529675,9.781967,5.3105448E7
9.124959,7.703067,10.082454,1.0865253E7
9.268502,7.795841,10.135755,2472152.0
9.435022,7.837,10.107469,1.5412787E7
9.579713,7.714186,10.144472,1.8342744E7
9.607853,7.583504,9.954414,3.457958E7
9.461141,7.4673777,9.328378,8789867.0
9.245826,7.350001,8.814079,1.5107585E7
9.214653,7.375935,8.707385,1.9319396E7
9.2676,7.508864,8.8482685,1.959408E7
9.330329,7.542366,9.002136,2.0204486E7
9.375955,7.498523,9.179093,2.1181138E7
9.375436,7.499746,9.387186,1.9471996E7
9.384533,7.5631094,9.69253,1.96246E7
9.429121,7.5766945,10.017245,2.0814892E7
9.431689,7.5712237,10.119712,2.047917E7
9.577964,7.279165,10.489482,2.3683808E7
9.742107,7.1600666,10.806634,1.559591E7
9.511684,7.398447,10.586797,3.8150468E7
9.404068,7.471346,10.355754,1464977.0
